name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
basis sensitiv Lozione viso delicata,Lavera,toner,unisex,young,midRange,core,morning;night,sensitive;dry;normal,dehydration;sensitivity,lotion,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-lozione-viso-delicata,,Use gentle lotion after cleansing.
Illuminating Eye Cream Perle,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,normal,dark_circles;dullness,cream,false,false,pearl_extract:Brightening,0,https://www.lavera.it/illuminating-eye-cream-perle,,Apply pearl eye cream for brightening effect.
Re-Energizing Sleeping Trattamento occhi,Lavera,eyeSerum,unisex,young;mature,midRange,special,night,normal;dry;mature,dark_circles;dehydration,gel,false,false,hyaluronic_acid:Hydration,0,https://www.lavera.it/re-energizing-sleeping-trattamento-occhi,,Use overnight around eyes for renewal.
basis sensitiv Crema notte idratante lenitiva,Lavera,nightCream,unisex,young;mature,midRange,core,night,sensitive;dry;normal,dehydration;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-notte-idratante-lenitiva,,Apply at night for gentle hydration.
Hydro Refresh Spray Trattamento Viso,Lavera,serum,unisex,young;mature,midRange,hydration,morning;night,normal;combination;dry,dehydration,spray,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-spray-trattamento-viso,,Spray on face for instant hydration.
Hydro Refresh Crema Gel,Lavera,moisturizer,unisex,young;mature,midRange,hydration,morning;night,normal;combination;dry,dehydration;oiliness,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-crema-gel,,Apply gel-cream morning and/or night.
Barrier Balance Crema da notte,Lavera,barrierCream,unisex,young;mature,midRange,special,night,sensitive;dry;normal,redness;dehydration,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-da-notte,,Use at night to strengthen skin barrier.
Barrier Balance Crema da giorno,Lavera,barrierCream,unisex,young;mature,midRange,special,morning,sensitive;dry;normal,redness;dehydration,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-da-giorno,,Apply daily for barrier support.
Hydro Refresh Acqua Micellare,Lavera,micellarWater,unisex,young,midRange,core,morning;night,normal;combination;dry,dehydration,lotion,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-acqua-micellare,,Use micellar water with cotton pad to remove makeup.
Glow by Nature Fluido Anti-UV SPF 50,Lavera,sunscreen,unisex,young;mature,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/glow-by-nature-fluido-anti-uv-spf-50,,Apply SPF 50 fluid before sun exposure.
Barrier Balance Siero,Lavera,serum,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,redness;dehydration,gel,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-siero,,Use barrier repair serum before moisturizer.
basis sensitiv Crema idratante nutriente,Lavera,moisturizer,unisex,young;mature,midRange,core,morning;night,sensitive;dry;normal,dryness;dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-idratante-nutriente,,Apply rich nourishing cream for dry skin.
Barrier Balance Crema contorno occhi,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,puffiness;redness,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-contorno-occhi,,Apply around eyes for barrier care.
basis sensitive Crema contorno occhi antirughe,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,fine_lines;dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-contorno-occhi-antirughe,,Pat anti-wrinkle eye cream around eyes.
basis sensitive Gel detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,oiliness,gel,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-gel-detergente,,Use cleansing gel for daily face wash.
Pure Beauty Liquid Refiner,Lavera,poreMinimizer,unisex,young,midRange,treatment,morning;night,combination;oily,pores;oiliness,lotion,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-liquid-refiner,,Apply liquid refiner to refine pores.
Pure Beauty 3in1 Detergente Peeling,Lavera,exfoliant,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,cream,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-3in1-detergente-peeling,,Use 3-in-1 cleanser and exfoliant.
Pure Beauty Siero,Lavera,serum,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-siero,,Apply serum to help control blemishes.
basis sensitive Schiuma detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,sensitivity,foam,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-schiuma-detergente,,Foam cleansing mousse for daily use.
Glow by Nature Crema 3in1 Vitamina C,Lavera,vitaminC,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dullness,cream,false,false,vitamin_c:Brightening,0,https://www.lavera.it/glow-by-nature-crema-3in1-vitamina-c,,Apply triple-action vitamin C cream for glow.
Pure Beauty Spot Treatment,Lavera,spotTreatment,unisex,young,midRange,treatment,night,combination;oily,acne,cream,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-spot-treatment,,Apply directly to blemishes as needed.
basis sensitive Latte detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-latte-detergente,,Use cleansing milk to gently cleanse.
basis sensitive Crema notte lenitiva,Lavera,soothingCream,unisex,young;mature,midRange,special,night,sensitive;dry;normal,redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-notte-lenitiva,,Apply soothing night cream at bedtime.
basis sensitive Crema idratante antirughe Q10,Lavera,antiAging,unisex,young;mature,midRange,treatment,morning;night,sensitive;dry;normal,fine_lines;dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante-antirughe-q10,,Apply Q10 anti-wrinkle moisturiser daily.
Glow By Nature Siero Booster Vitamina C,Lavera,vitaminC,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dullness,gel,false,false,vitamin_c:Brightening,0,https://www.lavera.it/glow-by-nature-siero-booster-vitamina-c,,Apply vitamin C booster serum before moisturizer.
Glow by Nature Illuminating Eye Cream,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,normal,dullness;dark_circles,cream,false,false,vitamin_c:Brightening,0,https://www.lavera.it/glow-by-nature-illuminating-eye-cream,,Apply illuminating eye cream daily.
basis sensitive Crema idratante,Lavera,moisturizer,unisex,young,midRange,core,morning;night,sensitive;dry;normal,dehydration,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante,,Daily moisturiser for normal skin.
basis sensitive Crema idratante nutriente,Lavera,moisturizer,unisex,young;mature,midRange,core,morning;night,sensitive;dry;normal,dryness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante-nutriente,,Rich nourishing cream for very dry skin.
