
name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,ingredients,texture,fragrance_free,alcohol_free,instructions,price,purchase_link,image_url
Balsamo per le labbra delicato,Lavera,lipCare,unisex,adult,midRange,lipCare,"[""morning"", ""night""]","[""normal""]",[],[],cream,False,False,Use delicate lip balm throughout the day.,0,https://www.lavera.it/balsamo-per-le-labbra-delicato,
basis sensitiv Crema Idratante Antirughe Q10,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply day and night for moisturizing and anti-aging.,0,https://www.lavera.it/basis-sensitiv-crema-idratante-antirughe-q10,
Glow by Nature Liquid Illuminating Refiner,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""normal"", ""dry"", ""combination""]","[""dullness""]",[],cream,False,False,Apply to face before moisturizer for a glow.,0,https://www.lavera.it/glow-by-nature-liquid-illuminating-refiner,
Neutral Ultra Sensitive Fluido per il viso,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",fluid,False,False,Apply gently to face morning and evening.,0,https://www.lavera.it/neutral-ultra-sensitive-fluido-per-il-viso,
basis sensitiv Crema Contorno Occhi Antirughe,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dark_circles"", ""dehydration"", ""dryness"", ""fine_lines"", ""puffiness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Pat around eye area morning and night.,0,https://www.lavera.it/basis-sensitiv-crema-contorno-occhi-antirughe,
LOZIONE SOLARE SENSITIVE KIDS SPF 50,Lavera,sunscreen,unisex,adult,midRange,sunscreen,"[""morning"", ""daytime""]","[""oily"", ""combination"", ""dry"", ""normal"", ""sensitive"", ""mature""]","[""hyperpigmentation"", ""sun_damage""]","[""zinc_oxide_or_filters""]",liquid,False,False,Apply generously to children's skin before sun exposure.,0,https://www.lavera.it/lozione-solare-sensitive-kids-spf-50,
Crema Da Notte Rassodante,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""mature"", ""dry"", ""normal""]","[""dullness"", ""fine_lines"", ""premature_ageing""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",cream,False,False,Apply at night to clean skin for firming effect.,0,https://www.lavera.it/crema-da-notte-rassodante,
basis sensitiv Crema da Notte Antirughe Q10,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Use nightly to nourish and reduce wrinkles.,0,https://www.lavera.it/basis-sensitiv-crema-da-notte-antirughe-q10,
basis sensitiv Schiuma detergente,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""oiliness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",foam,False,False,Gently foam and cleanse the face morning and night.,0,https://www.lavera.it/basis-sensitiv-schiuma-detergente,
Glow by Nature Siero,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""normal"", ""dry"", ""combination""]",[],[],fluid,False,False,Apply serum morning or evening under moisturizer.,0,https://www.lavera.it/glow-by-nature-siero,
Glow by Nature Crema da giorno,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""daytime""]","[""normal"", ""dry"", ""combination""]",[],[],cream,False,False,Use as daily moisturizer in the morning.,0,https://www.lavera.it/glow-by-nature-crema-da-giorno,
Cream Contorno Occhi Rassodante,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""mature"", ""dry"", ""normal""]","[""dark_circles"", ""dullness"", ""fine_lines"", ""premature_ageing"", ""puffiness""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",cream,False,False,Apply firming eye cream morning and night.,0,https://www.lavera.it/crema-contorno-occhi-rassodante,
Maschera Rassodante,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""mature"", ""dry"", ""normal""]","[""dullness"", ""fine_lines"", ""premature_ageing""]","[""hyaluronic_acid"", ""bakuchiol"", ""ceramides""]",mask,False,False,Use firming mask weekly for lifting effect.,0,https://www.lavera.it/maschera-rassodante,
PURE BEAUTY Fluido Anti-Imperfezioni,Lavera,treatment,unisex,adult,midRange,treatment,"[""morning"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",fluid,False,False,Apply anti-imperfection fluid to clean skin.,0,https://www.lavera.it/pure-beauty-fluido-anti-imperfezioni,
Re-Energizing Sleeping Cream,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""normal"", ""dry"", ""mature""]","[""dehydration"", ""dullness"", ""fine_lines""]","[""hyaluronic_acid""]",cream,False,False,Apply before bed to revitalise skin overnight.,0,https://www.lavera.it/re-energizing-sleeping-cream,
Straffende Hyaluron-Maske,Lavera,mask,unisex,adult,midRange,mask,"[""night"", ""weekly"", ""as_needed""]","[""normal"", ""dry"", ""combination""]",[],[],mask,False,False,Use hyaluron mask once or twice weekly.,0,https://www.lavera.it/straffende-hyaluron-maske,
basis sensitiv Crema notte lenitiva,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply at night for soothing hydration.,0,https://www.lavera.it/basis-sensitiv-crema-notte-lenitiva,
Fluido anti-UV SPF 30,Lavera,sunscreen,unisex,adult,midRange,sunscreen,"[""morning"", ""daytime""]","[""oily"", ""combination"", ""dry"", ""normal"", ""sensitive"", ""mature""]","[""hyperpigmentation"", ""sun_damage""]","[""zinc_oxide_or_filters""]",fluid,False,False,Apply broad-spectrum SPF 30 fluid daily.,0,https://www.lavera.it/fluido-anti-uv-spf-30,
Hydro Refresh Roll-On Contorno Occhi,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""normal"", ""combination"", ""dry""]","[""dark_circles"", ""dehydration"", ""dullness"", ""fine_lines"", ""puffiness""]","[""hyaluronic_acid"", ""aloe_vera""]",cream,False,False,Roll around eye area morning and evening.,0,https://www.lavera.it/hydro-refresh-roll-on-contorno-occhi,
basis sensitiv Crema idratante,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Use daily for moisture.,0,https://www.lavera.it/basis-sensitiv-crema-idratante,
PURE BEAUTY Gel Anti-Imperfezioni,Lavera,spotTreatment,unisex,adult,midRange,spotTreatment,"[""as_needed"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",gel,False,False,Apply directly on pimples.,0,https://www.lavera.it/pure-beauty-gel-anti-imperfezioni,
Hydro Refresh Siero,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""normal"", ""combination"", ""dry""]","[""dehydration"", ""dullness""]","[""hyaluronic_acid"", ""aloe_vera""]",fluid,False,False,Apply hydrating serum before moisturizer.,0,https://www.lavera.it/hydro-refresh-siero,
basis sensitiv Lozione viso delicata,Lavera,toner,unisex,adult,midRange,toner,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",liquid,False,False,Use gentle lotion after cleansing.,0,https://www.lavera.it/basis-sensitiv-lozione-viso-delicata,
Illuminating Eye Cream Perle,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""normal""]","[""dark_circles"", ""dullness"", ""fine_lines"", ""puffiness""]",[],cream,False,False,Apply pearl eye cream for brightening effect.,0,https://www.lavera.it/illuminating-eye-cream-perle,
Re-Energizing Sleeping Trattamento occhi,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""normal"", ""dry"", ""mature""]","[""dark_circles"", ""dehydration"", ""dullness"", ""fine_lines"", ""puffiness""]","[""hyaluronic_acid""]",cream,False,False,Use overnight around eyes for renewal.,0,https://www.lavera.it/re-energizing-sleeping-trattamento-occhi,
basis sensitiv Crema notte idratante lenitiva,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply at night for gentle hydration.,0,https://www.lavera.it/basis-sensitiv-crema-notte-idratante-lenitiva,
Hydro Refresh Spray Trattamento Viso,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""normal"", ""combination"", ""dry""]","[""dehydration"", ""dullness""]","[""hyaluronic_acid"", ""aloe_vera""]",cream,False,False,Spray on face for instant hydration.,0,https://www.lavera.it/hydro-refresh-spray-trattamento-viso,
Hydro Refresh Crema Gel,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""normal"", ""combination"", ""dry""]","[""dehydration"", ""dullness""]","[""hyaluronic_acid"", ""aloe_vera""]",gel,False,False,Apply gel-cream morning and/or night.,0,https://www.lavera.it/hydro-refresh-crema-gel,
Barrier Balance Crema da notte,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""prebiotics"", ""green_tea"", ""shea_butter""]",cream,False,False,Use at night to strengthen skin barrier.,0,https://www.lavera.it/barrier-balance-crema-da-notte,
Barrier Balance Crema da giorno,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""daytime""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""prebiotics"", ""green_tea"", ""shea_butter""]",cream,False,False,Apply daily for barrier support.,0,https://www.lavera.it/barrier-balance-crema-da-giorno,
Hydro Refresh Acqua Micellare,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""normal"", ""combination"", ""dry""]","[""dehydration"", ""dullness""]","[""hyaluronic_acid"", ""aloe_vera""]",cream,False,False,Use micellar water with cotton pad to remove makeup.,0,https://www.lavera.it/hydro-refresh-acqua-micellare,
Glow by Nature Fluido Anti-UV SPF 50,Lavera,sunscreen,unisex,adult,midRange,sunscreen,"[""morning"", ""daytime""]","[""oily"", ""combination"", ""dry"", ""normal"", ""sensitive"", ""mature""]","[""hyperpigmentation"", ""sun_damage""]","[""zinc_oxide_or_filters""]",fluid,False,False,Apply SPF 50 fluid before sun exposure.,0,https://www.lavera.it/glow-by-nature-fluido-anti-uv-spf-50,
Barrier Balance Siero,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""prebiotics"", ""green_tea"", ""shea_butter""]",fluid,False,False,Use barrier repair serum before moisturizer.,0,https://www.lavera.it/barrier-balance-siero,
basis sensitiv Crema idratante nutriente,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply rich nourishing cream for dry skin.,0,https://www.lavera.it/basis-sensitiv-crema-idratante-nutriente,
Barrier Balance Crema contorno occhi,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dark_circles"", ""dehydration"", ""dryness"", ""fine_lines"", ""puffiness"", ""redness""]","[""prebiotics"", ""green_tea"", ""shea_butter""]",cream,False,False,Apply around eyes for barrier care.,0,https://www.lavera.it/barrier-balance-crema-contorno-occhi,
basis sensitive Crema contorno occhi antirughe,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dark_circles"", ""dehydration"", ""dryness"", ""fine_lines"", ""puffiness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Pat anti-wrinkle eye cream around eyes.,0,https://www.lavera.it/basis-sensitive-crema-contorno-occhi-antirughe,
basis sensitive Gel detergente,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""oiliness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",gel,False,False,Use cleansing gel for daily face wash.,0,https://www.lavera.it/basis-sensitive-gel-detergente,
Pure Beauty Liquid Refiner,Lavera,treatment,unisex,adult,midRange,treatment,"[""morning"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",cream,False,False,Apply liquid refiner to refine pores.,0,https://www.lavera.it/pure-beauty-liquid-refiner,
Pure Beauty 3in1 Detergente Peeling,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",cream,False,False,Use 3-in-1 cleanser and exfoliant.,0,https://www.lavera.it/pure-beauty-3in1-detergente-peeling,
Pure Beauty Siero,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",fluid,False,False,Apply serum to help control blemishes.,0,https://www.lavera.it/pure-beauty-siero,
basis sensitive Schiuma detergente,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""oiliness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",foam,False,False,Foam cleansing mousse for daily use.,0,https://www.lavera.it/basis-sensitive-schiuma-detergente,
Glow by Nature Crema 3in1 Vitamina C,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""normal"", ""dry"", ""combination""]",[],[],cream,False,False,Apply triple-action vitamin C cream for glow.,0,https://www.lavera.it/glow-by-nature-crema-3in1-vitamina-c,
Pure Beauty Spot Treatment,Lavera,spotTreatment,unisex,adult,midRange,spotTreatment,"[""as_needed"", ""night""]","[""combination"", ""oily""]","[""acne"", ""blackheads"", ""impurities"", ""oiliness"", ""pores""]","[""mint"", ""salicylic_acid""]",cream,False,False,Apply directly to blemishes as needed.,0,https://www.lavera.it/pure-beauty-spot-treatment,
basis sensitive Latte detergente,Lavera,cleanser,unisex,adult,midRange,cleanser,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Use cleansing milk to gently cleanse.,0,https://www.lavera.it/basis-sensitive-latte-detergente,
basis sensitive Crema notte lenitiva,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply soothing night cream at bedtime.,0,https://www.lavera.it/basis-sensitive-crema-notte-lenitiva,
basis sensitive Crema idratante antirughe Q10,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Apply Q10 anti-wrinkle moisturiser daily.,0,https://www.lavera.it/basis-sensitive-crema-idratante-antirughe-q10,
Glow By Nature Siero Booster Vitamina C,Lavera,serum,unisex,adult,midRange,serum,"[""morning"", ""night""]","[""normal"", ""dry"", ""combination""]",[],[],fluid,False,False,Apply vitamin C booster serum before moisturizer.,0,https://www.lavera.it/glow-by-nature-siero-booster-vitamina-c,
Glow by Nature Illuminating Eye Cream,Lavera,eyeCare,unisex,adult,midRange,eyeCare,"[""morning"", ""night""]","[""normal""]","[""dark_circles"", ""dullness"", ""fine_lines"", ""puffiness""]",[],cream,False,False,Apply illuminating eye cream daily.,0,https://www.lavera.it/glow-by-nature-illuminating-eye-cream,
basis sensitive Crema idratante,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Daily moisturiser for normal skin.,0,https://www.lavera.it/basis-sensitive-crema-idratante,
basis sensitive Crema idratante nutriente,Lavera,moisturizer,unisex,adult,midRange,moisturizer,"[""morning"", ""night""]","[""sensitive"", ""dry"", ""normal""]","[""dehydration"", ""dryness"", ""redness""]","[""aloe_vera"", ""almond_oil"", ""shea_butter""]",cream,False,False,Rich nourishing cream for very dry skin.,0,https://www.lavera.it/basis-sensitive-crema-idratante-nutriente,
